node_id,fragments,unique_items,fragment_memberships
node_1,68,131,150
node_10,51,131,150
node_2,45,139,150
node_3,38,137,148
node_5,43,133,150
node_7,32,144,150
node_8,11,141,148
node_9,8,142,146
