descriptor_ui,replication_count,nodes
D000150,3,"node_2,node_5,node_7"
D000151,3,"node_2,node_8,node_9"
D000152,3,"node_10,node_2,node_8"
D000153,6,"node_1,node_10,node_2,node_3,node_5,node_8"
D000154,3,"node_10,node_3,node_9"
D000156,3,"node_1,node_7,node_9"
D000157,5,"node_1,node_10,node_3,node_7,node_9"
D000158,3,"node_1,node_5,node_8"
D000159,3,"node_2,node_3,node_8"
D000160,4,"node_1,node_3,node_7,node_8"
D000161,6,"node_1,node_10,node_2,node_5,node_7,node_8"
D000162,3,"node_1,node_10,node_9"
D000163,7,"node_1,node_10,node_2,node_5,node_7,node_8,node_9"
D000164,3,"node_10,node_2,node_5"
D000165,3,"node_3,node_7,node_9"
D000166,3,"node_3,node_7,node_9"
D000167,3,"node_3,node_7,node_9"
D000168,4,"node_1,node_5,node_7,node_8"
D000169,5,"node_1,node_10,node_2,node_5,node_8"
D000170,4,"node_1,node_2,node_7,node_8"
D000171,3,"node_1,node_7,node_9"
D000172,5,"node_1,node_2,node_5,node_7,node_8"
D000173,3,"node_3,node_5,node_8"
D000174,3,"node_3,node_5,node_8"
D000175,4,"node_10,node_3,node_7,node_9"
D000176,3,"node_10,node_3,node_9"
D000177,5,"node_1,node_10,node_2,node_5,node_8"
D000178,4,"node_1,node_5,node_7,node_9"
D000179,3,"node_1,node_7,node_9"
D000180,6,"node_1,node_2,node_5,node_7,node_8,node_9"
D000181,3,"node_1,node_2,node_9"
D000182,3,"node_1,node_3,node_8"
D000183,3,"node_1,node_7,node_9"
D000184,3,"node_1,node_10,node_7"
D000185,4,"node_1,node_2,node_5,node_9"
D000186,4,"node_1,node_10,node_2,node_9"
D000187,5,"node_1,node_2,node_5,node_8,node_9"
D000188,3,"node_2,node_5,node_7"
D000189,3,"node_2,node_8,node_9"
D000190,3,"node_1,node_2,node_5"
D000191,3,"node_1,node_2,node_5"
D000192,3,"node_1,node_2,node_5"
D000193,3,"node_2,node_8,node_9"
D000196,3,"node_2,node_8,node_9"
D000197,5,"node_10,node_2,node_3,node_8,node_9"
D000198,6,"node_1,node_2,node_3,node_5,node_7,node_9"
D000199,4,"node_1,node_2,node_5,node_9"
D000200,5,"node_1,node_2,node_5,node_7,node_8"
