node_id,used,number_of_fragments,node_load,node_capacity,remaining_capacity
node_1,1,68,150,150,0
node_2,1,45,150,150,0
node_3,1,38,148,150,2
node_4,0,0,0,150,150
node_5,1,43,150,150,0
node_6,0,0,0,150,150
node_7,1,32,150,150,0
node_8,1,11,148,150,2
node_9,1,8,146,150,4
node_10,1,51,150,150,0
