node_id,used,number_of_fragments,node_load,node_capacity,remaining_capacity
node_1,1,253,15594,19767,4173
node_2,1,240,13488,19767,6279
node_3,1,219,7216,19767,12551
node_4,1,249,11122,19767,8645
node_5,1,224,9663,19767,10104
node_6,1,224,12229,19767,7538
node_7,1,219,15154,19767,4613
node_8,1,231,14476,19767,5291
node_9,1,171,15323,19767,4444
node_10,1,284,17515,19767,2252
