descriptor_ui,replication_count,nodes
D000176,3,"node_1,node_4,node_7"
D000177,2,"node_1,node_2"
D000178,4,"node_1,node_10,node_5,node_7"
D000179,3,"node_1,node_10,node_7"
D000180,4,"node_2,node_3,node_4,node_7"
D000181,3,"node_1,node_4,node_7"
D000182,2,"node_1,node_8"
D000183,2,"node_4,node_7"
D000184,2,"node_10,node_4"
D000185,3,"node_2,node_4,node_7"
D000186,4,"node_1,node_2,node_5,node_7"
D000187,2,"node_10,node_8"
D000188,4,"node_1,node_10,node_2,node_3"
D000189,2,"node_10,node_8"
D000190,3,"node_1,node_10,node_4"
D000191,3,"node_1,node_10,node_4"
D000192,3,"node_1,node_10,node_4"
D000193,2,"node_10,node_8"
D000196,2,"node_10,node_8"
D000197,4,"node_10,node_2,node_3,node_8"
D000198,4,"node_2,node_4,node_5,node_7"
D000199,3,"node_2,node_4,node_7"
D000200,2,"node_3,node_8"
D000201,2,"node_4,node_5"
D000202,2,"node_5,node_8"
D000203,4,"node_3,node_4,node_5,node_7"
D000204,2,"node_2,node_3"
D000205,3,"node_2,node_4,node_7"
D000206,4,"node_2,node_3,node_4,node_5"
D000208,2,"node_10,node_8"
D000209,3,"node_2,node_4,node_7"
D000210,2,"node_10,node_8"
D000212,2,"node_5,node_7"
D000213,3,"node_2,node_4,node_7"
D000214,3,"node_1,node_5,node_7"
D000215,2,"node_2,node_3"
D000216,3,"node_1,node_4,node_7"
D000217,3,"node_1,node_4,node_7"
D000218,3,"node_1,node_7,node_8"
D000219,2,"node_10,node_8"
D000220,2,"node_10,node_3"
D000221,2,"node_2,node_3"
D000222,2,"node_10,node_3"
D000223,2,"node_10,node_4"
D000224,2,"node_10,node_8"
D000225,2,"node_5,node_7"
D000226,3,"node_2,node_4,node_7"
D000227,3,"node_1,node_5,node_7"
D000228,3,"node_1,node_4,node_7"
D000229,2,"node_1,node_4"
D000230,3,"node_1,node_7,node_8"
D000231,3,"node_1,node_7,node_8"
D000232,3,"node_1,node_7,node_8"
D000233,2,"node_10,node_5"
D000234,2,"node_2,node_4"
D000235,3,"node_1,node_7,node_8"
D000236,3,"node_1,node_7,node_8"
D000237,3,"node_1,node_7,node_8"
D000238,3,"node_1,node_7,node_8"
D000239,3,"node_1,node_7,node_8"
D000241,3,"node_4,node_5,node_7"
D000242,3,"node_1,node_5,node_7"
D000243,3,"node_1,node_4,node_7"
D000244,3,"node_1,node_5,node_7"
D000245,5,"node_1,node_2,node_4,node_5,node_7"
D000246,5,"node_1,node_2,node_4,node_5,node_7"
D000247,5,"node_1,node_2,node_4,node_5,node_7"
D000248,3,"node_1,node_4,node_7"
D000249,3,"node_1,node_5,node_7"
D000250,3,"node_1,node_5,node_7"
D000251,3,"node_1,node_4,node_7"
D000252,4,"node_1,node_2,node_4,node_7"
D000254,4,"node_1,node_2,node_4,node_7"
D000255,3,"node_1,node_5,node_7"
D000256,2,"node_1,node_4"
D000257,2,"node_10,node_8"
D000258,2,"node_10,node_8"
D000259,2,"node_1,node_4"
D000260,2,"node_1,node_4"
D000261,2,"node_1,node_4"
D000262,4,"node_1,node_2,node_4,node_7"
D000263,3,"node_1,node_4,node_7"
D000264,3,"node_1,node_4,node_7"
D000265,3,"node_1,node_4,node_7"
D000266,3,"node_1,node_5,node_7"
D000267,2,"node_10,node_8"
D000268,2,"node_2,node_3"
D000269,2,"node_3,node_7"
D000270,6,"node_1,node_10,node_2,node_3,node_5,node_8"
D000272,3,"node_1,node_10,node_7"
D000273,2,"node_2,node_8"
D000274,3,"node_1,node_2,node_8"
D000275,3,"node_10,node_2,node_4"
D000276,3,"node_3,node_5,node_7"
D000277,3,"node_3,node_5,node_7"
D000278,2,"node_4,node_5"
D000279,2,"node_4,node_5"
D000280,2,"node_4,node_5"
D000281,2,"node_4,node_5"
D000282,2,"node_4,node_5"
D000283,2,"node_4,node_5"
D000284,2,"node_4,node_5"
D000285,2,"node_4,node_5"
D000286,2,"node_4,node_5"
D000287,2,"node_4,node_5"
D000288,2,"node_10,node_4"
D000289,3,"node_10,node_3,node_4"
D000290,2,"node_1,node_2"
D000291,2,"node_10,node_8"
D000292,2,"node_10,node_8"
D000293,2,"node_10,node_4"
D000294,2,"node_2,node_4"
D000295,2,"node_10,node_4"
D000296,2,"node_10,node_4"
D000297,2,"node_10,node_4"
D000298,2,"node_10,node_4"
D000299,2,"node_10,node_4"
D000300,3,"node_1,node_4,node_7"
D000301,4,"node_2,node_3,node_5,node_7"
D000302,2,"node_10,node_2"
D000303,2,"node_10,node_8"
D000304,3,"node_1,node_4,node_5"
D000305,2,"node_7,node_8"
D000306,3,"node_1,node_10,node_8"
D000307,2,"node_10,node_8"
D000308,2,"node_10,node_8"
D000309,2,"node_10,node_8"
D000310,3,"node_1,node_10,node_8"
D000311,2,"node_10,node_2"
D000312,5,"node_1,node_10,node_2,node_3,node_8"
D000313,2,"node_10,node_2"
D000314,3,"node_1,node_7,node_8"
D000315,2,"node_10,node_5"
D000316,3,"node_3,node_5,node_7"
