placement_type,operation,runtime_seconds,operation_nodes,contacted_nodes,available_nodes,fragment_count,stretch,jump
round_robin,SELECT,0.027079199999661796,1,node_1,3.0,3.0,1.0,1
round_robin,INSERT,0.04974590000028911,3,"node_5,node_6,node_10",,,2.0,2
round_robin,SELECT,0.024654999999711436,1,node_10,3.0,3.0,1.0,1
round_robin,UPDATE,0.026289700000234006,3,"node_5,node_6,node_10",,,2.0,2
round_robin,DELETE,0.05321840000033262,3,"node_5,node_6,node_10",,,2.0,2
round_robin,SELECT,0.025769599999875936,1,node_3,3.0,3.0,1.0,1
round_robin,INSERT,0.03999079999994137,3,"node_4,node_9,node_10",,,2.3333333333333335,2
round_robin,SELECT,0.021545200000218756,1,node_10,3.0,3.0,1.0,1
round_robin,UPDATE,0.027925500000037573,3,"node_4,node_9,node_10",,,2.3333333333333335,2
round_robin,DELETE,0.0511941000004299,3,"node_4,node_9,node_10",,,2.3333333333333335,2
round_robin,SELECT,0.03166579999970054,1,node_3,3.0,3.0,1.0,1
round_robin,INSERT,0.04139430000032007,3,"node_3,node_4,node_6",,,1.3333333333333333,2
round_robin,SELECT,0.02661039999975401,1,node_3,3.0,3.0,1.0,1
round_robin,UPDATE,0.02723629999991317,3,"node_3,node_4,node_6",,,1.3333333333333333,2
round_robin,DELETE,0.05543800000032206,3,"node_3,node_4,node_6",,,1.3333333333333333,2
round_robin,SELECT,0.027270600000065315,1,node_4,3.0,3.0,1.0,1
round_robin,INSERT,0.040693800000099145,3,"node_4,node_5,node_7",,,1.3333333333333333,2
round_robin,SELECT,0.023145600000134436,1,node_4,3.0,3.0,1.0,1
round_robin,UPDATE,0.03389770000012504,3,"node_4,node_5,node_7",,,1.3333333333333333,2
round_robin,DELETE,0.05088550000027681,3,"node_4,node_5,node_7",,,1.3333333333333333,2
round_robin,SELECT,0.023710200000095938,1,node_3,3.0,3.0,1.0,1
round_robin,INSERT,0.04515549999996438,3,"node_1,node_6,node_7",,,2.3333333333333335,2
round_robin,SELECT,0.02514470000005531,1,node_1,3.0,3.0,1.0,1
round_robin,UPDATE,0.02821429999994507,3,"node_1,node_6,node_7",,,2.3333333333333335,2
round_robin,DELETE,0.06273889999965832,3,"node_1,node_6,node_7",,,2.3333333333333335,2
tuple_ilp,SELECT,0.020885000005364418,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.02793440001551062,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.0204710999969393,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.021824800001922995,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,DELETE,0.056546000007074326,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.02102970000123605,1,node_1,3.0,3.0,1.0,1
tuple_ilp,INSERT,0.02972229997976683,3,"node_1,node_2,node_3",,,1.0,1
tuple_ilp,SELECT,0.021479599992744625,1,node_1,3.0,3.0,1.0,1
tuple_ilp,UPDATE,0.022500299994135275,3,"node_1,node_2,node_3",,,1.0,1
