placement_type,operation,runtime_seconds,operation_nodes,available_nodes,fragment_count
tuple_ilp,INSERT,0.018166299909353256,1,,
tuple_ilp,SELECT,0.014783399878069758,1,1.0,2.0
tuple_ilp,UPDATE,0.014404300134629011,1,,
tuple_ilp,DELETE,0.027856700122356415,1,,
tuple_ilp,SELECT,0.016026300145313144,1,2.0,3.0
tuple_ilp,INSERT,0.031437400029972196,2,,
tuple_ilp,SELECT,0.015894899843260646,1,2.0,2.0
tuple_ilp,UPDATE,0.019864500034600496,2,,
tuple_ilp,DELETE,0.03712640004232526,2,,
tuple_ilp,SELECT,0.017121799988672137,1,2.0,3.0
tuple_ilp,INSERT,0.02760059991851449,2,,
tuple_ilp,SELECT,0.018405399983748794,1,2.0,2.0
tuple_ilp,UPDATE,0.021595299942418933,2,,
tuple_ilp,DELETE,0.03744510002434254,2,,
tuple_ilp,SELECT,0.01890680007636547,1,3.0,3.0
tuple_ilp,INSERT,0.01997960009612143,1,,
tuple_ilp,SELECT,0.015316100092604756,1,1.0,2.0
tuple_ilp,UPDATE,0.02123879990540445,1,,
tuple_ilp,DELETE,0.029029600089415908,1,,
tuple_ilp,SELECT,0.014994699973613024,1,2.0,3.0
tuple_ilp,INSERT,0.025193199981004,2,,
tuple_ilp,SELECT,0.017017799895256758,1,2.0,2.0
tuple_ilp,UPDATE,0.020624900003895164,2,,
tuple_ilp,DELETE,0.03611740004271269,2,,
tuple_ilp,SELECT,0.016956800129264593,1,2.0,3.0
tuple_ilp,INSERT,0.018954799976199865,1,,
tuple_ilp,SELECT,0.016760699916630983,1,1.0,2.0
tuple_ilp,UPDATE,0.013771299971267581,1,,
tuple_ilp,DELETE,0.028342299861833453,1,,
tuple_ilp,SELECT,0.02530570002272725,1,2.0,3.0
tuple_ilp,INSERT,0.019212699960917234,1,,
tuple_ilp,SELECT,0.015126300044357777,1,1.0,2.0
tuple_ilp,UPDATE,0.012956199934706092,1,,
tuple_ilp,DELETE,0.02902889996767044,1,,
tuple_ilp,SELECT,0.015824100002646446,1,2.0,3.0
tuple_ilp,INSERT,0.020823400001972914,1,,
tuple_ilp,SELECT,0.016261700075119734,1,1.0,2.0
tuple_ilp,UPDATE,0.014704199973493814,1,,
tuple_ilp,DELETE,0.028272699797526002,1,,
tuple_ilp,SELECT,0.016791899921372533,1,2.0,3.0
tuple_ilp,INSERT,0.019742100033909082,1,,
tuple_ilp,SELECT,0.022761299973353744,1,1.0,2.0
tuple_ilp,UPDATE,0.012864199932664633,1,,
tuple_ilp,DELETE,0.029314100043848157,1,,
tuple_ilp,SELECT,0.01606840011663735,1,2.0,3.0
tuple_ilp,INSERT,0.025144000072032213,2,,
tuple_ilp,SELECT,0.015667200088500977,1,2.0,2.0
tuple_ilp,UPDATE,0.020352999912574887,2,,
tuple_ilp,DELETE,0.03544100001454353,2,,
tuple_ilp,SELECT,0.017544800182804465,1,2.0,3.0
tuple_ilp,INSERT,0.025539500173181295,2,,
tuple_ilp,SELECT,0.01575989997945726,1,2.0,2.0
tuple_ilp,UPDATE,0.019988100044429302,2,,
tuple_ilp,DELETE,0.04137980006635189,2,,
tuple_ilp,SELECT,0.016140500083565712,1,3.0,3.0
tuple_ilp,INSERT,0.01855419995263219,1,,
tuple_ilp,SELECT,0.013740400085225701,1,1.0,2.0
tuple_ilp,UPDATE,0.01356270001269877,1,,
tuple_ilp,DELETE,0.027731900103390217,1,,
tuple_ilp,SELECT,0.014987899921834469,1,2.0,3.0
tuple_ilp,INSERT,0.026057800045236945,2,,
tuple_ilp,SELECT,0.016948600066825747,1,2.0,2.0
tuple_ilp,UPDATE,0.02110059978440404,2,,
tuple_ilp,DELETE,0.03637290000915527,2,,
tuple_ilp,SELECT,0.017659000121057034,1,3.0,3.0
tuple_ilp,INSERT,0.032461300026625395,2,,
tuple_ilp,SELECT,0.01666629989631474,1,2.0,2.0
tuple_ilp,UPDATE,0.022580399876460433,2,,
tuple_ilp,DELETE,0.03721059998497367,2,,
tuple_ilp,SELECT,0.017021300038322806,1,3.0,3.0
tuple_ilp,INSERT,0.029177899938076735,2,,
tuple_ilp,SELECT,0.01777929998934269,1,2.0,2.0
tuple_ilp,UPDATE,0.022493300028145313,2,,
tuple_ilp,DELETE,0.04195159999653697,2,,
tuple_ilp,SELECT,0.02145370002835989,1,2.0,3.0
tuple_ilp,INSERT,0.02797119994647801,2,,
tuple_ilp,SELECT,0.026856499956920743,1,2.0,2.0
tuple_ilp,UPDATE,0.022630600025877357,2,,
tuple_ilp,DELETE,0.10331279993988574,2,,
conflict_locality_ilp,SELECT,0.028650599997490644,1,3.0,3.0
conflict_locality_ilp,INSERT,0.02595919999293983,1,,
conflict_locality_ilp,SELECT,0.019028399954549968,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.015596400015056133,1,,
conflict_locality_ilp,DELETE,0.03527520003262907,1,,
conflict_locality_ilp,SELECT,0.01924439996946603,1,3.0,3.0
conflict_locality_ilp,INSERT,0.022665899945423007,1,,
conflict_locality_ilp,SELECT,0.019590600044466555,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.01399090001359582,1,,
conflict_locality_ilp,DELETE,0.034054100047796965,1,,
conflict_locality_ilp,SELECT,0.022164999973028898,1,3.0,3.0
conflict_locality_ilp,INSERT,0.022585300030186772,1,,
conflict_locality_ilp,SELECT,0.018797600059770048,1,1.0,2.0
conflict_locality_ilp,UPDATE,0.015055099967867136,1,,
conflict_locality_ilp,DELETE,0.031181999947875738,1,,
conflict_locality_ilp,SELECT,0.022350899991579354,1,3.0,3.0
