descriptor_ui,descriptor_name,metadata_json,item_size_bytes,tree_number,tree_number_count,top_category,branch_code,subbranch_code
D000280,"Administration, Inhalation","{""scope_notes"":[""The administration of drugs by the respiratory route. It includes insufflation into the respiratory tract.\n    ""],""entry_terms"":[""Administration, Inhalation"",""Administration, Inhalation Drug"",""Administration, Respiratory Drug"",""Aerosol Drug Therapy"",""Aerosol Therapy, Drug"",""Drug Administration, Inhalation"",""Drug Administration, Respiratory"",""Drug Aerosol Therapy"",""Drug Therapy, Aerosol"",""Inhalation Administration"",""Inhalation Drug Administration"",""Inhalation of Drugs"",""Respiratory Drug Administration"",""Therapy, Aerosol Drug"",""Therapy, Drug Aerosol""],""allowable_qualifiers"":[],""annotation"":""usually NIM\n  ""}",664,E02.319.267.050,1,E,E02,E02.319
D000281,"Administration, Intranasal","{""scope_notes"":[""Delivery of medications through the nasal mucosa.\n    ""],""entry_terms"":[""Administration, Intranasal"",""Administration, Intranasal Drug"",""Administration, Nasal"",""Administrations, Intranasal"",""Administrations, Intranasal Drug"",""Administrations, Nasal"",""Drug Administration, Intranasal"",""Drug Administrations, Intranasal"",""Intranasal Administration"",""Intranasal Administrations"",""Intranasal Drug Administration"",""Intranasal Drug Administrations"",""Nasal Administration"",""Nasal Administrations""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000295"",""qualifier_name"":""instrumentation"",""abbreviation"":""IS""},{""qualifier_ui"":""Q000379"",""qualifier_name"":""methods"",""abbreviation"":""MT""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":null}",1673,E02.319.267.120.655.500,1,E,E02,E02.319
D000282,"Administration, Intravaginal","{""scope_notes"":[""The insertion of drugs into the vagina to treat local infections, neoplasms, or to induce labor. The dosage forms may include medicated pessaries, irrigation fluids, and suppositories.\n    ""],""entry_terms"":[""Administration, Intravaginal"",""Administration, Vaginal"",""Administration, Vaginal Drug"",""Administrations, Intravaginal"",""Administrations, Vaginal"",""Administrations, Vaginal Drug"",""Drug Administration, Vaginal"",""Drug Administrations, Vaginal"",""Instillation, Vaginal"",""Instillations, Vaginal"",""Intravaginal Administration"",""Intravaginal Administrations"",""Vaginal Administration"",""Vaginal Administrations"",""Vaginal Drug Administration"",""Vaginal Drug Administrations"",""Vaginal Instillation"",""Vaginal Instillations""],""allowable_qualifiers"":[],""annotation"":""usually NIM\n  ""}",829,E02.319.267.120.500,1,E,E02,E02.319
D000283,"Administration, Intravesical","{""scope_notes"":[""The instillation or other administration of drugs into the bladder, usually to treat local disease, including neoplasms.\n    ""],""entry_terms"":[""Administration, Bladder Drug"",""Administration, Intravesical"",""Administration, Intravesical Drug"",""Administrations, Bladder Drug"",""Administrations, Intravesical"",""Administrations, Intravesical Drug"",""Bladder Drug Administration"",""Bladder Drug Administrations"",""Bladder Instillation"",""Bladder Instillations"",""Drug Administration, Bladder"",""Drug Administration, Intravesical"",""Drug Administrations, Bladder"",""Drug Administrations, Intravesical"",""Injection, Intravesical"",""Injections, Intravesical"",""Instillation, Bladder"",""Instillation, Intravesical"",""Instillations, Bladder"",""Instillations, Intravesical"",""Intravesical Administration"",""Intravesical Administrations"",""Intravesical Drug Administration"",""Intravesical Drug Administrations"",""Intravesical Injection"",""Intravesical Injections"",""Intravesical Instillation"",""Intravesical Instillations""],""allowable_qualifiers"":[],""annotation"":""usually NIM\n  ""}",1098,E02.319.267.120.505,1,E,E02,E02.319
D000284,"Administration, Oral","{""scope_notes"":[""The giving of drugs, chemicals, or other substances by mouth.\n    ""],""entry_terms"":[""Administration, Oral"",""Administration, Oral Drug"",""Administrations, Oral"",""Administrations, Oral Drug"",""Drug Administration, Oral"",""Drug Administrations, Oral"",""Oral Administration"",""Oral Administrations"",""Oral Drug Administration"",""Oral Drug Administrations""],""allowable_qualifiers"":[],""annotation"":""usually NIM\n  ""}",448,E02.319.267.100,1,E,E02,E02.319
D000285,"Administration, Rectal","{""scope_notes"":[""The insertion of drugs into the rectum, usually for confused or incompetent patients, like children, infants, and the very old or comatose.\n    ""],""entry_terms"":[""Administration, Anal Drug"",""Administration, Rectal"",""Administration, Rectal Drug"",""Administrations, Anal Drug"",""Administrations, Rectal"",""Administrations, Rectal Drug"",""Anal Drug Administration"",""Anal Drug Administrations"",""Drug Administration, Anal"",""Drug Administration, Rectal"",""Drug Administrations, Anal"",""Drug Administrations, Rectal"",""Instillation, Rectal"",""Instillations, Rectal"",""Rectal Administration"",""Rectal Administrations"",""Rectal Drug Administration"",""Rectal Drug Administrations"",""Rectal Instillation"",""Rectal Instillations""],""allowable_qualifiers"":[],""annotation"":""NIM but only if discussed: do not index here routinely for every rectally administered drug\n  ""}",889,E02.319.267.120.655.750,1,E,E02,E02.319
D000286,"Administration, Sublingual","{""scope_notes"":[""Administration of a soluble dosage form by placement under the tongue.\n    ""],""entry_terms"":[""Administration, Sublingual"",""Administration, Sublingual Drug"",""Administrations, Sublingual"",""Administrations, Sublingual Drug"",""Drug Administration, Sublingual"",""Drug Administrations, Sublingual"",""Sublingual Administration"",""Sublingual Administrations"",""Sublingual Drug Administration"",""Sublingual Drug Administrations""],""allowable_qualifiers"":[],""annotation"":""usually NIM\n  ""}",523,E02.319.267.100.878,1,E,E02,E02.319
D000287,"Administration, Topical","{""scope_notes"":[""The application of drug preparations to the surfaces of the body, especially the skin (ADMINISTRATION, CUTANEOUS) or mucous membranes. This method of treatment is used to avoid systemic side effects when high doses are required at a localized area or as an alternative systemic administration route, to avoid hepatic processing for example.\n    ""],""entry_terms"":[""Administration, Topical"",""Administration, Topical Drug"",""Administrations, Topical"",""Administrations, Topical Drug"",""Drug Administration, Topical"",""Drug Administrations, Topical"",""Topical Administration"",""Topical Administrations"",""Topical Drug Administration"",""Topical Drug Administrations""],""allowable_qualifiers"":[],""annotation"":""general; prefer specifics; \""topical\"" in titles frequently means ADMINISTRATION, CUTANEOUS\n  ""}",840,E02.319.267.120,1,E,E02,E02.319
D000288,Administrative Personnel,"{""scope_notes"":[""Individuals responsible for the development of policy and supervision of the execution of plans and functional operations.\n    ""],""entry_terms"":[""Administrative Personnel"",""Administrator"",""Administrators"",""Personnel, Administrative"",""Policy Maker"",""Policy Makers""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000193"",""qualifier_name"":""education"",""abbreviation"":""ED""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":null}",1335,M01.526.070,1,M,M01,M01.526
D000289,"Admitting Department, Hospital","{""scope_notes"":[""Hospital department responsible for the flow of patients and the processing of admissions, discharges, transfers, and also most procedures to be carried out in the event of a patient's death.\n    ""],""entry_terms"":[""Admissions Office, Hospital"",""Admissions Offices, Hospital"",""Admitting Department"",""Admitting Department, Hospital"",""Admitting Departments"",""Admitting Departments, Hospital"",""Department, Admitting"",""Department, Hospital Admitting"",""Departments, Admitting"",""Departments, Hospital Admitting"",""Hospital Admissions Office"",""Hospital Admissions Offices"",""Hospital Admitting Department"",""Hospital Admitting Departments"",""Office, Hospital Admissions"",""Offices, Hospital Admissions""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000379"",""qualifier_name"":""methods"",""abbreviation"":""MT""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":null}",1688,N02.278.216.500.968.040,2,N,N02,N02.278
D000290,Adnexa Uteri,"{""scope_notes"":[""Appendages of the UTERUS which include the FALLOPIAN TUBES, the OVARY, and the supporting ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT).\n    ""],""entry_terms"":[""Adnexa Uteri"",""Appendage, Uterine"",""Appendages, Uterine"",""Uterine Appendage"",""Uterine Appendages""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000002"",""qualifier_name"":""abnormalities"",""abbreviation"":""AB""},{""qualifier_ui"":""Q000033"",""qualifier_name"":""anatomy & histology"",""abbreviation"":""AH""},{""qualifier_ui"":""Q000098"",""qualifier_name"":""blood supply"",""abbreviation"":""BS""},{""qualifier_ui"":""Q000166"",""qualifier_name"":""cytology"",""abbreviation"":""CY""},{""qualifier_ui"":""Q000187"",""qualifier_name"":""drug effects"",""abbreviation"":""DE""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000254"",""qualifier_name"":""growth & development"",""abbreviation"":""GD""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000293"",""qualifier_name"":""injuries"",""abbreviation"":""IN""},{""qualifier_ui"":""Q000294"",""qualifier_name"":""innervation"",""abbreviation"":""IR""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000502"",""qualifier_name"":""physiology"",""abbreviation"":""PH""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000648"",""qualifier_name"":""ultrastructure"",""abbreviation"":""UL""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""seen in titles more frequently in adjective form \""adnexal\""; inflammation = ADNEXITIS\n  ""}",2256,A05.360.319.114,1,A,A05,A05.360
D000291,Adnexal Diseases,"{""scope_notes"":[""Diseases of the uterine appendages (ADNEXA UTERI) including diseases involving the OVARY, the FALLOPIAN TUBES, and ligaments of the uterus (BROAD LIGAMENT; ROUND LIGAMENT).\n    ""],""entry_terms"":[""Adnexal Disease"",""Adnexal Diseases"",""Disease, Adnexal"",""Diseases, Adnexal""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000139"",""qualifier_name"":""chemically induced"",""abbreviation"":""CI""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000151"",""qualifier_name"":""congenital"",""abbreviation"":""CN""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""inflamm dis = PELVIC INFLAMMATORY DISEASE\n  ""}",3127,C12.050.351.500.056,2,C,C12,C12.050
D000292,Pelvic Inflammatory Disease,"{""scope_notes"":[""A spectrum of inflammation involving the female upper genital tract and the supporting tissues. It is usually caused by an ascending infection of organisms from the endocervix. Infection may be confined to the uterus (ENDOMETRITIS), the FALLOPIAN TUBES; (SALPINGITIS); the ovaries (OOPHORITIS), the supporting ligaments (PARAMETRITIS), or may involve several of the above uterine appendages. Such inflammation can lead to functional impairment and infertility.\n    "",""Inflammation of the uterine appendages (ADNEXA UTERI) including infection of the FALLOPIAN TUBES (SALPINGITIS), the ovaries (OOPHORITIS), or the supporting ligaments (PARAMETRITIS).\n    ""],""entry_terms"":[""Adnexitis"",""Disease, Inflammatory Pelvic"",""Disease, Pelvic Inflammatory"",""Diseases, Inflammatory Pelvic"",""Diseases, Pelvic Inflammatory"",""Inflammatory Disease, Pelvic"",""Inflammatory Diseases, Pelvic"",""Inflammatory Pelvic Disease"",""Inflammatory Pelvic Diseases"",""Pelvic Disease, Inflammatory"",""Pelvic Diseases, Inflammatory"",""Pelvic Inflammatory Disease"",""Pelvic Inflammatory Diseases""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000139"",""qualifier_name"":""chemically induced"",""abbreviation"":""CI""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000151"",""qualifier_name"":""congenital"",""abbreviation"":""CN""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""female only: note category; \""male adnexitis\"": index under GENITAL DISEASES, MALE or PELVIC INFECTION\n  ""}",3987,C01.635.500,3,C,C01,C01.635
D000293,Adolescent,"{""scope_notes"":[""A person 13 to 18 years of age.\n    "",""The period of life beginning with the appearance of secondary sex characteristics and terminating with the cessation of somatic growth. The years usually referred to as adolescence lie between 13 and 18 years of age.\n    ""],""entry_terms"":[""Adolescence"",""Adolescent"",""Adolescent, Female"",""Adolescent, Male"",""Adolescents"",""Adolescents, Female"",""Adolescents, Male"",""Female Adolescent"",""Female Adolescents"",""Male Adolescent"",""Male Adolescents"",""Teen"",""Teenager"",""Teenagers"",""Teens"",""Youth"",""Youths""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000502"",""qualifier_name"":""physiology"",""abbreviation"":""PH""}],""annotation"":""almost always check tag: NIM; see Manual Chapter 9\n  ""}",837,M01.060.057,1,M,M01,M01.060
D000294,Adolescent Behavior,"{""scope_notes"":[""Any observable response or action of an adolescent.\n    ""],""entry_terms"":[""Adolescent Behavior"",""Adolescent Behaviors"",""Behavior, Adolescent"",""Behaviors, Adolescent""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000187"",""qualifier_name"":""drug effects"",""abbreviation"":""DE""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000502"",""qualifier_name"":""physiology"",""abbreviation"":""PH""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":""check also tag ADOLESCENCE\n  ""}",903,F01.145.022,1,F,F01,F01.145
D000295,Adolescent Medicine,"{""scope_notes"":[""A branch of medicine pertaining to the diagnosis and treatment of diseases occurring during the period of ADOLESCENCE.\n    ""],""entry_terms"":[""Adolescent Medicine"",""Ephebiatrics"",""Hebiatrics"",""Medicine, Adolescent""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000193"",""qualifier_name"":""education"",""abbreviation"":""ED""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000295"",""qualifier_name"":""instrumentation"",""abbreviation"":""IS""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000379"",""qualifier_name"":""methods"",""abbreviation"":""MT""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":""a specialty but may  also be used for very general articles on adolescent diseases\n  ""}",1355,H02.403.014,1,H,H02,H02.403
D000296,Adolescent Psychiatry,"{""scope_notes"":[""The medical science that deals with the origin, diagnosis, prevention, and treatment of mental disorders in individuals 13-18 years.\n    ""],""entry_terms"":[""Adolescent Psychiatry"",""Psychiatry, Adolescent""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000193"",""qualifier_name"":""education"",""abbreviation"":""ED""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000295"",""qualifier_name"":""instrumentation"",""abbreviation"":""IS""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000379"",""qualifier_name"":""methods"",""abbreviation"":""MT""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":""specialty: not for mental disorders in adolescents (= MENTAL DISORDERS + check tag ADOLESCENT)\n  ""}",1359,F04.096.544.065,2,F,F04,F04.096
D000297,"Psychology, Adolescent","{""scope_notes"":[""Field of psychology involving the study of normal and abnormal behavior of adolescents. It includes mental processes as well as observable responses.\n    ""],""entry_terms"":[""Adolescent Psychology"",""Psychology, Adolescent""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000193"",""qualifier_name"":""education"",""abbreviation"":""ED""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000295"",""qualifier_name"":""instrumentation"",""abbreviation"":""IS""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000379"",""qualifier_name"":""methods"",""abbreviation"":""MT""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":""use for the specialty and also for articles on the way a normal adolescent thinks & acts\n  ""}",1371,F04.096.628.065,1,F,F04,F04.096
