node_id,fragments,unique_items,fragment_memberships
node_1,71,16904,18292
node_10,210,14813,16967
node_2,411,18426,19496
node_5,497,14598,18200
node_6,445,16992,19739
node_7,555,15636,19582
node_8,125,14988,19504
