descriptor_ui,replication_count,nodes
D000153,5,"node_1,node_2,node_5,node_7,node_8"
D000154,3,"node_2,node_5,node_7"
D000156,3,"node_2,node_7,node_8"
D000157,4,"node_10,node_2,node_7,node_8"
D000158,3,"node_1,node_6,node_8"
D000159,3,"node_1,node_5,node_6"
D000160,4,"node_1,node_10,node_6,node_8"
D000161,4,"node_1,node_5,node_6,node_8"
D000162,3,"node_6,node_7,node_8"
D000163,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000164,3,"node_10,node_5,node_6"
D000165,3,"node_1,node_2,node_8"
D000166,3,"node_1,node_2,node_8"
D000167,3,"node_1,node_2,node_8"
D000168,4,"node_1,node_10,node_2,node_5"
D000169,5,"node_1,node_10,node_2,node_5,node_8"
D000170,5,"node_1,node_10,node_2,node_5,node_8"
D000171,3,"node_10,node_2,node_8"
D000172,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000173,3,"node_1,node_2,node_5"
D000174,3,"node_1,node_2,node_5"
D000175,4,"node_1,node_2,node_7,node_8"
D000176,3,"node_2,node_5,node_7"
D000177,4,"node_1,node_10,node_7,node_8"
D000178,3,"node_2,node_7,node_8"
D000179,3,"node_2,node_7,node_8"
D000180,5,"node_2,node_5,node_6,node_7,node_8"
D000181,3,"node_10,node_2,node_8"
D000182,3,"node_1,node_10,node_5"
D000183,3,"node_10,node_2,node_6"
D000184,3,"node_1,node_2,node_8"
D000185,3,"node_2,node_6,node_7"
D000186,4,"node_2,node_5,node_6,node_7"
D000187,3,"node_1,node_10,node_6"
D000188,4,"node_10,node_2,node_6,node_7"
D000189,3,"node_1,node_10,node_6"
D000190,3,"node_10,node_2,node_7"
D000191,3,"node_10,node_2,node_7"
D000192,3,"node_10,node_2,node_7"
D000193,3,"node_1,node_10,node_6"
D000196,3,"node_1,node_10,node_6"
D000197,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000198,5,"node_1,node_10,node_2,node_5,node_8"
D000199,3,"node_2,node_6,node_7"
D000200,5,"node_1,node_10,node_2,node_7,node_8"
D000201,3,"node_1,node_6,node_8"
D000202,3,"node_1,node_10,node_6"
D000203,6,"node_1,node_2,node_5,node_6,node_7,node_8"
D000204,3,"node_1,node_5,node_8"
D000205,3,"node_2,node_6,node_7"
D000206,5,"node_1,node_2,node_5,node_7,node_8"
D000208,3,"node_1,node_2,node_8"
D000209,3,"node_2,node_6,node_7"
D000210,3,"node_1,node_2,node_8"
D000212,3,"node_1,node_2,node_8"
D000213,3,"node_2,node_6,node_7"
D000214,7,"node_1,node_10,node_2,node_5,node_6,node_7,node_8"
D000215,5,"node_1,node_5,node_6,node_7,node_8"
D000216,3,"node_2,node_5,node_7"
D000217,3,"node_2,node_5,node_7"
D000218,3,"node_10,node_2,node_8"
D000219,5,"node_1,node_10,node_2,node_5,node_8"
D000220,3,"node_1,node_7,node_8"
D000221,3,"node_1,node_2,node_8"
D000222,4,"node_1,node_5,node_7,node_8"
D000223,3,"node_1,node_7,node_8"
D000224,5,"node_1,node_10,node_5,node_7,node_8"
D000225,3,"node_1,node_2,node_8"
D000226,3,"node_2,node_6,node_7"
D000227,5,"node_1,node_10,node_2,node_6,node_8"
D000228,3,"node_2,node_5,node_7"
D000229,3,"node_10,node_5,node_6"
D000230,3,"node_1,node_10,node_5"
D000231,3,"node_1,node_10,node_5"
D000232,3,"node_1,node_10,node_5"
D000233,3,"node_1,node_10,node_5"
D000234,5,"node_1,node_2,node_5,node_7,node_8"
D000235,3,"node_1,node_10,node_5"
D000236,3,"node_1,node_10,node_5"
D000237,3,"node_1,node_10,node_5"
D000238,3,"node_1,node_10,node_5"
D000239,3,"node_1,node_10,node_5"
D000241,5,"node_1,node_2,node_5,node_6,node_8"
D000242,5,"node_1,node_10,node_2,node_6,node_8"
D000243,3,"node_2,node_5,node_7"
D000244,5,"node_1,node_10,node_2,node_6,node_8"
D000245,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000246,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000247,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000248,3,"node_2,node_5,node_7"
D000249,5,"node_1,node_10,node_2,node_6,node_8"
D000250,5,"node_1,node_10,node_2,node_6,node_8"
D000251,3,"node_2,node_5,node_7"
D000252,4,"node_2,node_5,node_6,node_7"
D000254,4,"node_2,node_5,node_6,node_7"
D000255,5,"node_1,node_10,node_2,node_6,node_8"
D000256,3,"node_10,node_5,node_6"
D000257,3,"node_1,node_10,node_5"
D000258,3,"node_1,node_10,node_5"
D000259,3,"node_10,node_5,node_6"
D000260,3,"node_10,node_5,node_6"
D000261,3,"node_10,node_5,node_6"
D000262,4,"node_2,node_5,node_6,node_7"
D000263,3,"node_2,node_5,node_7"
D000264,3,"node_2,node_5,node_7"
D000265,3,"node_2,node_5,node_7"
D000266,5,"node_1,node_10,node_2,node_6,node_8"
D000267,3,"node_1,node_2,node_8"
D000268,3,"node_1,node_6,node_8"
D000269,5,"node_10,node_2,node_5,node_6,node_8"
D000270,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000272,3,"node_2,node_7,node_8"
D000273,3,"node_1,node_7,node_8"
D000274,5,"node_1,node_10,node_2,node_6,node_8"
D000275,3,"node_1,node_10,node_7"
D000276,3,"node_2,node_6,node_7"
D000277,3,"node_10,node_2,node_6"
D000278,3,"node_1,node_5,node_8"
D000279,3,"node_1,node_5,node_8"
D000280,3,"node_1,node_5,node_8"
D000281,3,"node_1,node_5,node_8"
D000282,3,"node_1,node_5,node_8"
D000283,3,"node_1,node_5,node_8"
D000284,3,"node_1,node_5,node_8"
D000285,3,"node_1,node_5,node_8"
D000286,3,"node_1,node_5,node_8"
D000287,3,"node_1,node_5,node_8"
D000288,3,"node_10,node_2,node_8"
D000289,4,"node_5,node_6,node_7,node_8"
