node_id,used,number_of_fragments,node_load,node_capacity,remaining_capacity
node_1,1,71,18292,19767,1475
node_2,1,411,19496,19767,271
node_3,0,0,0,19767,19767
node_4,0,0,0,19767,19767
node_5,1,497,18200,19767,1567
node_6,1,445,19739,19767,28
node_7,1,555,19582,19767,185
node_8,1,125,19504,19767,263
node_9,0,0,0,19767,19767
node_10,1,210,16967,19767,2800
