node_id,fragments,unique_items,fragment_memberships
node_1,30,71,87
node_10,29,77,107
node_2,30,85,99
node_3,30,118,149
node_4,30,158,200
node_5,30,100,123
node_6,30,73,89
node_7,29,109,121
node_8,29,96,104
node_9,29,102,113
