node_id,fragments,unique_items,fragment_memberships
node_1,6,14539,15458
node_10,5,3985,4075
node_2,6,10290,11019
node_3,6,24581,27945
node_4,5,25597,30282
node_5,5,13302,14071
node_6,5,44500,46532
node_7,5,5750,5787
node_8,5,4626,4750
node_9,5,8742,9104
