node_id,fragments,unique_items,fragment_memberships
node_1,232,9263,10146
node_10,231,8440,9584
node_2,232,12382,14665
node_3,232,11047,14115
node_4,232,18062,21290
node_5,231,12718,18768
node_6,231,8104,10091
node_7,231,9553,11630
node_8,231,10862,12993
node_9,231,7177,8498
