descriptor_ui,replication_count,nodes
D000159,3,"node_1,node_4,node_5"
D000160,4,"node_10,node_3,node_7,node_9"
D000161,5,"node_3,node_4,node_5,node_6,node_8"
D000162,3,"node_10,node_4,node_8"
D000163,5,"node_10,node_2,node_3,node_5,node_9"
D000164,3,"node_2,node_3,node_8"
D000165,3,"node_4,node_8,node_9"
D000166,3,"node_4,node_8,node_9"
D000167,3,"node_4,node_8,node_9"
D000168,5,"node_1,node_10,node_3,node_5,node_6"
D000169,4,"node_2,node_3,node_5,node_6"
D000170,6,"node_10,node_3,node_4,node_5,node_6,node_9"
D000171,2,"node_4,node_7"
D000172,6,"node_1,node_10,node_3,node_4,node_5,node_8"
D000173,3,"node_1,node_2,node_8"
D000174,3,"node_1,node_2,node_8"
D000175,4,"node_4,node_5,node_8,node_9"
D000176,3,"node_1,node_2,node_4"
D000177,5,"node_1,node_4,node_6,node_7,node_8"
D000178,4,"node_4,node_7,node_8,node_9"
D000179,3,"node_4,node_7,node_9"
D000180,6,"node_1,node_10,node_4,node_5,node_7,node_9"
D000181,3,"node_4,node_7,node_8"
D000182,3,"node_3,node_4,node_7"
D000183,3,"node_4,node_7,node_9"
D000184,3,"node_3,node_6,node_9"
D000185,4,"node_1,node_10,node_4,node_5"
D000186,5,"node_10,node_2,node_4,node_6,node_7"
D000187,3,"node_1,node_3,node_5"
D000188,3,"node_10,node_2,node_5"
D000189,2,"node_3,node_5"
D000190,3,"node_10,node_2,node_3"
D000191,3,"node_10,node_2,node_3"
D000192,3,"node_10,node_2,node_3"
D000193,2,"node_3,node_5"
D000196,2,"node_3,node_5"
D000197,4,"node_2,node_3,node_5,node_6"
D000198,5,"node_3,node_4,node_7,node_8,node_9"
D000199,4,"node_1,node_10,node_4,node_5"
D000200,4,"node_3,node_6,node_7,node_9"
D000201,2,"node_5,node_6"
D000202,3,"node_10,node_5,node_7"
D000203,6,"node_1,node_2,node_3,node_4,node_5,node_9"
D000204,3,"node_2,node_7,node_9"
D000205,2,"node_4,node_5"
D000206,5,"node_10,node_3,node_4,node_5,node_6"
D000208,2,"node_2,node_3"
D000209,2,"node_4,node_5"
D000210,2,"node_2,node_3"
D000212,3,"node_4,node_8,node_9"
D000213,2,"node_4,node_5"
D000214,5,"node_2,node_4,node_6,node_8,node_9"
D000215,5,"node_1,node_10,node_4,node_5,node_7"
D000216,3,"node_1,node_2,node_4"
D000217,3,"node_1,node_2,node_4"
D000218,3,"node_4,node_7,node_8"
D000219,3,"node_2,node_3,node_9"
D000220,3,"node_7,node_8,node_9"
D000221,3,"node_6,node_7,node_8"
D000222,3,"node_7,node_8,node_9"
D000223,2,"node_6,node_9"
D000224,4,"node_3,node_7,node_8,node_9"
D000225,3,"node_4,node_8,node_9"
D000226,2,"node_4,node_5"
D000227,5,"node_2,node_4,node_6,node_8,node_9"
D000228,3,"node_1,node_2,node_4"
D000229,3,"node_1,node_2,node_3"
D000230,3,"node_3,node_4,node_7"
D000231,3,"node_3,node_4,node_7"
D000232,3,"node_3,node_4,node_7"
D000233,2,"node_5,node_8"
D000234,7,"node_1,node_10,node_3,node_4,node_6,node_8,node_9"
D000235,3,"node_3,node_4,node_7"
D000236,3,"node_3,node_4,node_7"
D000237,3,"node_3,node_4,node_7"
D000238,3,"node_3,node_4,node_7"
D000239,3,"node_3,node_4,node_7"
D000241,5,"node_1,node_4,node_6,node_8,node_9"
D000242,5,"node_2,node_4,node_6,node_8,node_9"
D000243,3,"node_1,node_2,node_4"
D000244,5,"node_2,node_4,node_6,node_8,node_9"
D000245,6,"node_2,node_3,node_4,node_6,node_8,node_9"
D000246,6,"node_2,node_3,node_4,node_6,node_8,node_9"
D000247,6,"node_2,node_3,node_4,node_6,node_8,node_9"
D000248,3,"node_1,node_2,node_4"
D000249,5,"node_2,node_4,node_6,node_8,node_9"
D000250,5,"node_2,node_4,node_6,node_8,node_9"
D000251,3,"node_1,node_2,node_4"
D000252,4,"node_1,node_2,node_4,node_5"
