fragment_id,node_id,fragment_weight
subbranch_code_D03.633,node_2,23
subbranch_code_D04.210,node_10,3
subbranch_code_D04.345,node_10,1
subbranch_code_D04.615,node_10,2
subbranch_code_D05.750,node_5,3
subbranch_code_D06.472,node_10,1
subbranch_code_D08.211,node_1,2
subbranch_code_D08.811,node_1,29
subbranch_code_D09.067,node_10,3
subbranch_code_D09.408,node_2,6
subbranch_code_D09.811,node_10,1
subbranch_code_D10.251,node_10,1
subbranch_code_D10.570,node_10,1
subbranch_code_D12.125,node_10,1
subbranch_code_D12.644,node_10,1
subbranch_code_D12.776,node_2,11
subbranch_code_D13.570,node_1,1
subbranch_code_D13.695,node_10,12
subbranch_code_D20.777,node_5,1
subbranch_code_D23.050,node_4,1
subbranch_code_D25.223,node_9,1
subbranch_code_D25.720,node_10,1
subbranch_code_D26.650,node_10,1
subbranch_code_D27.505,node_10,5
subbranch_code_D27.720,node_10,2
subbranch_code_E01.370,node_9,2
subbranch_code_E02.037,node_10,1
subbranch_code_E02.190,node_10,1
subbranch_code_E02.319,node_10,10
subbranch_code_E02.760,node_1,1
subbranch_code_E02.831,node_10,1
subbranch_code_E04.270,node_1,1
subbranch_code_E04.520,node_10,4
subbranch_code_E04.580,node_1,1
subbranch_code_E05.196,node_10,1
subbranch_code_E05.318,node_10,1
subbranch_code_E05.723,node_4,1
subbranch_code_E06.658,node_1,1
subbranch_code_E06.780,node_1,1
subbranch_code_E06.931,node_10,1
subbranch_code_E07.695,node_3,1
subbranch_code_F01.058,node_1,1
subbranch_code_F01.145,node_6,2
subbranch_code_F01.393,node_10,1
subbranch_code_F01.658,node_6,1
subbranch_code_F02.784,node_10,2
subbranch_code_F03.950,node_6,1
subbranch_code_F04.096,node_10,2
subbranch_code_F04.754,node_6,1
subbranch_code_G01.015,node_10,1
subbranch_code_G01.482,node_4,1
subbranch_code_G01.750,node_10,1
subbranch_code_G02.010,node_4,1
subbranch_code_G02.111,node_2,3
