node_id,used,number_of_fragments,node_load,node_capacity,remaining_capacity
node_1,1,28,56341,65214,8873
node_2,1,15,56341,65214,8873
node_3,1,10,56341,65214,8873
node_4,0,0,0,65214,65214
node_5,0,0,0,65214,65214
node_6,0,0,0,65214,65214
node_7,0,0,0,65214,65214
node_8,0,0,0,65214,65214
node_9,0,0,0,65214,65214
node_10,0,0,0,65214,65214
